backdrop_path,id,movie_id,name,poster_path
/noeTVcgpBiD48fDjFVic1Vz7ope.jpg,313576.0,1.0,Hot Tub Time Machine Collection,/iEhb00TGPucF0b4joM1ieyY026U.jpg
/zSEtYD77pKRJlUPx34BJgUG9v1c.jpg,107674.0,2.0,The Princess Diaries Collection,/wt5AMbxPTS4Kfjx7Fgm149qPfZl.jpg
/1AWd3MM90G47mxtD112gRDxSXY9.jpg,256377.0,9.0,The Muppet Collection,/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg
/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg,1575.0,11.0,Rocky Collection,/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg
,48190.0,12.0,Revenge of the Nerds Collection,/qOnoXEdrSnBuS3FMAFRIgyJSM2r.jpg
/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg,91698.0,14.0,Chili Palmer Collection,/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg
/qDuTIGAEbxF3jP9zNILLAoxNLpU.jpg,9518.0,20.0,The Transporter Collection,/uakYnYtFxqjS8pjEWW9lGWmdMRz.jpg
/c7pMKwv5NzIN6N3KM4L8fYMTtPw.jpg,9735.0,22.0,Friday the 13th Collection,/uobgqpLQff9WvxGKE2OSvXv1RHm.jpg
/wSdVm0uxEvYlwMxOAhipUUzey4w.jpg,207621.0,23.0,V/H/S Collection,/esfk62fcqTWqB90dAHaVMbDWmbM.jpg
,207632.0,34.0,The ABCs of Death Collection,/fzrKAtcg75Je7N0NereOdKePHDM.jpg
/uoDt3eCCKpcxSQVWjPTgN8T0gjm.jpg,90863.0,35.0,Rush Hour Collection,/pTjvzlYByJuZ4TTkmlHIe4aDFy2.jpg
/3vT6FzqHeT7onqUAMjKk7FqARRD.jpg,376970.0,41.0,Cocaine Cowboys,/ysCY4Q91US7zEr78raJBc27KPxF.jpg
/2Mb92Ssoe1eUecvrCe2pEvgAlmv.jpg,8354.0,47.0,Ice Age Collection,/stQoHvo0q6ZcEkji2Z1wlAxKnDq.jpg
/r7MMQenUURHhAVHFymtOb8AX4Bm.jpg,115570.0,50.0,Star Trek: The Next Generation Collection,/sddV6vaUC6x37icJS3opIXTXB07.jpg
