id,movie_id,name
4.0,1.0,Paramount Pictures
60.0,1.0,United Artists
8411.0,1.0,Metro-Goldwyn-Mayer (MGM)
2.0,2.0,Walt Disney Pictures
2266.0,3.0,Bold Films
3172.0,3.0,Blumhouse Productions
32157.0,3.0,Right of Way Films
768.0,7.0,Ghost House Pictures
22637.0,7.0,North Box Productions
2.0,9.0,Walt Disney Pictures
2504.0,9.0,Jim Henson Productions
6254.0,9.0,"Jim Henson Company, The"
97.0,10.0,Castle Rock Entertainment
60.0,11.0,United Artists
306.0,12.0,Twentieth Century Fox Film Corporation
5263.0,12.0,Amercent Films
5264.0,12.0,American Entertainment Partners L.P.
10201.0,12.0,Interscope Communications
27.0,13.0,DreamWorks SKG
2721.0,13.0,Jinks/Cohen Company
215.0,14.0,Double Feature Films
216.0,14.0,Jersey Films
1693.0,14.0,Nina Saxon Film Design
8411.0,14.0,Metro-Goldwyn-Mayer (MGM)
27.0,15.0,DreamWorks SKG
44.0,15.0,Cruise/Wagner Productions
56.0,15.0,Amblin Entertainment
306.0,15.0,Twentieth Century Fox Film Corporation
766.0,15.0,Blue Tulip Productions
26265.0,15.0,Ronald Shusett/Gary Goldman
76068.0,15.0,Digital Image Associates
51316.0,16.0,Hypnopolis
27.0,17.0,DreamWorks SKG
1600.0,17.0,Craven-Maddalena Films
6363.0,17.0,BenderSpink
288.0,18.0,BBC Films
13151.0,18.0,Headline Pictures
18188.0,18.0,Magnolia Mae Films
26783.0,18.0,Taeoo Entertainment
2452.0,19.0,UK Film Council
6901.0,19.0,Prescience
7309.0,19.0,Aegis Film Fund
29305.0,19.0,Kaleidoscope Films
306.0,20.0,Twentieth Century Fox Film Corporation
972.0,20.0,Current Entertainment
3823.0,20.0,TF1 Films Production
5358.0,20.0,Canal+
6586.0,20.0,TPS Star
6896.0,20.0,EuropaCorp
95342.0,20.0,Sea Side Films Florida Inc.
12.0,21.0,New Line Cinema
14024.0,21.0,Irwin Allen Productions
19902.0,21.0,Prelude Pictures
30253.0,21.0,Saltire Entertainment
4.0,22.0,Paramount Pictures
7513.0,22.0,Jason Productions
15156.0,23.0,The Collective
15157.0,23.0,Bloody Disgusting
15158.0,23.0,8383 Productions
8053.0,24.0, Braeburn Entertainment
8054.0,24.0, Check Entertainment
8055.0,24.0,G.C. Pix 
294.0,25.0,New Zealand Film Commission
1466.0,25.0,Live Stock Films
33.0,26.0,Universal Pictures
552.0,26.0,Dark Horse Entertainment
1644.0,26.0,Largo Entertainment
4248.0,26.0,JVC Entertainment Networks
16280.0,27.0,Jean Doumanian Productions
21716.0,27.0,Sweetland Films
65514.0,27.0,Magnolia Films
65515.0,27.0,Jasmine Productions Inc.
5353.0,28.0,Fastnet Films
23108.0,28.0,Caramel Film
35846.0,28.0,No Trace Camping
484.0,29.0,De Laurentiis Entertainment Group (DEG)
2301.0,29.0,Marvel Productions
2598.0,29.0,Hasbro
3313.0,29.0,Sunbow Productions
4.0,30.0,Paramount Pictures
9.0,31.0,Gaumont
3823.0,31.0,TF1 Films Production
5358.0,31.0,Canal+
6301.0,31.0,CinéCinéma
7038.0,31.0,Quad Productions
7766.0,31.0,Chaocorp
8018.0,31.0,Ten Films
22123.0,31.0,TF1
223.0,32.0,Les Films du Losange
224.0,32.0,Wega Film
225.0,32.0,BIM Distribuzione
310.0,32.0,Centre National de la Cinématographie
315.0,32.0,Filmstiftung Nordrhein-Westfalen
591.0,32.0,France 3 Cinéma
850.0,32.0,Eurimages
1704.0,32.0,Bavaria Film
5358.0,32.0,Canal+
5870.0,32.0,Studio Canal
6916.0,32.0,Arte France Cinéma
7025.0,32.0,Westdeutscher Rundfunk (WDR)
10273.0,32.0,Filmfonds Wien
11388.0,32.0,ORF Film/Fernseh-Abkommen
11389.0,32.0,Österreichisches Filminstitut
491.0,33.0,Summit Entertainment
2995.0,33.0,Atmosphere Entertainment MM
7154.0,33.0,One Race Films
12006.0,33.0,Goldmann Pictures
24097.0,33.0,NeoReel
33832.0,33.0,Aperture Entertainment
72441.0,33.0,TIK Films
3595.0,34.0,Magnet Releasing
10485.0,34.0,Drafthouse Films
19324.0,34.0,Timpson Films
12.0,35.0,New Line Cinema
2253.0,36.0,Lawrence Bender Productions
7437.0,36.0,IM Global
7625.0,36.0,Automatik Entertainment
11801.0,36.0,Trigger Street Productions
23008.0,36.0,87Eleven
1898.0,37.0,Bórd Scannán na hÉireann
3324.0,37.0,British Broadcasting Corporation (BBC)
16836.0,37.0,Venus Productions
824.0,38.0,Kopelson Entertainment
2154.0,38.0,Punch Productions
6194.0,38.0,Warner Bros.
16775.0,38.0,Arnold Kopelson Productions
441.0,40.0,Columbia Pictures Corporation
11971.0,40.0,Jerry Bresler Productions
6303.0,41.0,Rakontur
6194.0,42.0,Warner Bros.
11496.0,42.0,Jalem Productions
4.0,43.0,Paramount Pictures
126.0,43.0,Lakeshore Entertainment
906.0,44.0,Revelations Entertainment
30997.0,44.0,Lascaux Films
30998.0,44.0,Latitude Productions
2157.0,45.0,26 Films
12026.0,45.0,Gold Circle Films
29018.0,45.0,Visionview Production
1533.0,46.0,Indigo Film
6246.0,46.0,Medusa Film
9383.0,47.0,Blue Sky Studios
11749.0,47.0,Twentieth Century Fox Animation
215.0,48.0,Double Feature Films
308.0,48.0,The Weinstein Company
1811.0,48.0,FilmColony
2361.0,49.0,Ad Hominem Enterprises
4.0,50.0,Paramount Pictures
6194.0,52.0,Warner Bros.
3166.0,53.0,Walt Disney Productions
559.0,54.0,TriStar Pictures
5.0,55.0,Columbia Pictures
10156.0,55.0,Affirm Films
10285.0,55.0,LD Entertainment
59827.0,55.0,Patrick Aiello Productions
915.0,56.0,Hollywood Pictures
22983.0,57.0,Mon Voisin Productions
1382.0,58.0,PolyGram Filmed Entertainment
6194.0,58.0,Warner Bros.
3599.0,59.0,Speak Productions
12.0,60.0,New Line Cinema
7576.0,61.0,Eon Productions
11345.0,61.0,Stillking Films
19481.0,61.0,Babelsberg Film
5799.0,62.0,Joanna Productions
507.0,63.0,Atlas Entertainment
6189.0,63.0,Turner Pictures (I)
4.0,64.0,Paramount Pictures
17611.0,64.0,Sean S. Cunningham Films
62948.0,64.0,Horror Inc.
838.0,65.0,Paramount Vantage
2570.0,65.0,Bona Fide Productions
4110.0,66.0,Cannon Films
7193.0,67.0,Company Films
7595.0,67.0,Moving Pictures Film and Television
567.0,68.0,Office Kitano
1079.0,68.0,Xstream Pictures
3407.0,68.0,Shanghai Film Group
33.0,69.0,Universal Pictures
33.0,70.0,Universal Pictures
129.0,71.0,Section Eight
551.0,71.0,Mandalay Pictures
827.0,71.0,VIP 3 Medienfonds
846.0,71.0,2929 Productions
1208.0,71.0,Rising Star
3801.0,71.0,VIP 2 Medienfonds
11509.0,71.0,Warner Independent Pictures (WIP)
191.0,72.0,Senator Film Produktion
316.0,72.0,Wildwood Enterprises
1143.0,72.0,Sound for Film
6638.0,72.0,Inca Films S.A.
6705.0,72.0,Filmfour
9962.0,72.0,BD Cine
17469.0,72.0,Tu Vas Voir Productions
19027.0,72.0,Sahara Films
23.0,73.0,Imagine Entertainment
33.0,73.0,Universal Pictures
1950.0,75.0,New World Pictures
9195.0,76.0,Touchstone Pictures
41.0,78.0,Orion Pictures
6194.0,78.0,Warner Bros.
6194.0,79.0,Warner Bros.
11593.0,79.0,Deliverance Productions
10370.0,80.0,Spectacle Entertainment Group
18922.0,80.0,Windy Hill Pictures
20277.0,80.0,Protagonist Pictures
37432.0,80.0,Bow and Arrow Entertainment
49152.0,80.0,PalmStar Media
60.0,81.0,United Artists
763.0,81.0,Intermedia Films
1809.0,81.0,IM Filmproduktion
1810.0,81.0,Cosmic Pictures
8411.0,81.0,Metro-Goldwyn-Mayer (MGM)
11462.0,81.0,Alphaville Films
1171.0,82.0,Epsilon Motion Pictures
1172.0,82.0,Hyde Park Films
1173.0,82.0,Shopgirl
9195.0,82.0,Touchstone Pictures
33.0,83.0,Universal Pictures
69.0,83.0,MFPV Film
215.0,83.0,Double Feature Films
12269.0,83.0,ShadowCatcher Entertainment
12270.0,83.0,Daniel Bobker Productions
12271.0,83.0,Brick Dust Productions LLC
8411.0,84.0,Metro-Goldwyn-Mayer (MGM)
6930.0,85.0,Elle Driver
25904.0,85.0,Tazora Films
4.0,86.0,Paramount Pictures
7383.0,86.0,"Kennedy/Marshall Company, The"
5.0,87.0,Columbia Pictures
12.0,88.0,New Line Cinema
2521.0,88.0,Golden Harvest Company
7419.0,89.0,Scion Films
10285.0,89.0,LD Entertainment
20473.0,89.0,Czech Anglo Productions
104.0,90.0,Canal Plus
508.0,90.0,Regency Enterprises
644.0,90.0,Alcor Films
14.0,91.0,Miramax Films
59.0,91.0,A Band Apart
39121.0,91.0,Super Cool ManChu
